code,year,end_date,institution_id,industry_code,annual_report_ai_word_freq,annual_report_ai_sentence_freq,annual_report_total_sentences,annual_report_total_words,ai_disclosure_sentence_ratio,ai_disclosure_word_ratio,ai_sentence_per_1000_sentences,ai_word_per_1000_words,annual_trading_shares,float_market_value_thousand,total_market_value_thousand,annual_return_no_cash_dividend,investor_sentiment_proxy_log_trading_volume,report_year,Size,Lev,ROA,Growth,CashRatio,TobinQ,ListAge,Board,Indep,Dual,Top1,SOE
002370,2024,2024-12-31,102557,C27,0,0,2810,71862,0.0,0.0,0.0,0.0,6032088016,2174156.99,2174156.99,-0.289044,22.520359059223328,2024,21.061000396816567,0.30646102058793007,0.024188,-0.036774,1.728232,1.891736,2.70805020110221,2.3978952727983707,0.2727272727272727,0.0,0.12273099999999999,0.0
002371,2020,2020-12-31,102558,C35,2,2,2656,55391,0.0007530120481927,3.610694878229315e-05,0.7530120481927711,0.0361069487822931,2392139373,83022941.41,89730636.77,1.05458,21.59545393805977,2020,23.586496681725535,0.5940304489789924,0.040386,0.492256,0.326353,5.363662,2.3978952727983707,2.3978952727983707,0.36363636363636365,0.0,0.358891,1.0
002371,2021,2021-12-31,102558,C35,3,3,2722,57554,0.0011021307861866,5.212496090627932e-05,1.1021307861866274,0.0521249609062793,1775003695,159823346.24,182396277.87,0.920599,21.297068342125144,2021,24.159008704662543,0.4461863526988848,0.049138,0.598978,0.80144,5.662824,2.4849066497880004,2.5649493574615367,0.3076923076923077,0.0,0.3389,1.0
002371,2022,2022-12-31,102558,C35,4,4,2566,57400,0.0015588464536243,6.968641114982578e-05,1.558846453624318,0.0696864111498257,1938052893,118462751.49,119082230.74,-0.350167,21.38494964312819,2022,24.473978566828936,0.5303584412557559,0.069043,0.516822,0.650679,3.317462,2.5649493574615367,2.833213344056216,0.35294117647058826,0.0,0.337023,1.0
002371,2023,2023-12-31,102558,C35,14,14,2633,59417,0.0053171287504747,0.0002356228015551,5.317128750474744,0.2356228015551104,1767025677,129805863.9,130197857.35,0.092565,21.29256356215348,2023,24.705272865052606,0.5370631648484366,0.083861,0.50322,0.640835,2.960555,2.6390573296152584,2.833213344056216,0.35294117647058826,0.0,0.336053,1.0
002371,2024,2024-12-31,102558,C35,16,15,2585,59242,0.0058027079303675,0.0002700786604098,5.802707930367505,0.2700786604098443,1532809363,207448339.87,207628688.62,0.594481,21.15036807424363,2024,24.908499925725447,0.509576247031737,0.095425,0.351395,0.525335,3.682487,2.70805020110221,2.6390573296152584,0.2857142857142857,0.0,0.333907,1.0
002372,2020,2020-12-31,102559,C29,0,0,1718,41198,0.0,0.0,0.0,0.0,2349825915,26574327.27,29772512.88,0.457859,21.577607084060674,2020,22.45662694294844,0.23196648723584173,0.228033,0.094498,1.465559,5.009875,2.3978952727983707,2.4849066497880004,0.5,1.0,0.37896799999999997,0.0
002372,2021,2021-12-31,102559,C29,0,0,1846,45074,0.0,0.0,0.0,0.0,2261561760,35067181.94,38720187.87,0.327273,21.539321456259433,2021,22.58520351620958,0.2331963541965781,0.203114,0.251296,1.649718,5.750346,2.4849066497880004,2.1972245773362196,0.3333333333333333,1.0,0.37896799999999997,0.0
002372,2022,2022-12-31,102559,C29,0,0,1915,47503,0.0,0.0,0.0,0.0,1938620117,31118940.87,33975691.16,-0.097862,21.385242277561012,2022,22.66039312859834,0.2145026257205197,0.196043,0.088611,2.185381,4.761649,2.5649493574615367,2.1972245773362196,0.3333333333333333,1.0,0.37896799999999997,0.0
002372,2023,2023-12-31,102559,C29,0,0,1961,48706,0.0,0.0,0.0,0.0,1685515481,21316416.96,23037368.49,-0.293814,21.245337278001127,2023,22.70999428012565,0.2115286379488621,0.182303,-0.082742,1.352749,3.191545,2.6390573296152584,2.3978952727983707,0.2727272727272727,1.0,0.378976,0.0
002372,2024,2024-12-31,102559,C29,0,0,1890,46433,0.0,0.0,0.0,0.0,2457421691,18576937.92,20107439.79,-0.064962,21.62237854457454,2024,22.61512137300998,0.21066364054033565,0.137896,-0.017511,0.987684,3.071994,2.70805020110221,2.1972245773362196,0.3333333333333333,1.0,0.37898600000000005,0.0
002373,2020,2020-12-31,102560,I65,87,61,3013,77133,0.0202456023896448,0.0011279219011318,20.245602389644873,1.1279219011318111,6351089821,20113647.76,30232224.98,0.063747,22.57189226063685,2020,23.687707957849558,0.36317232631149465,0.064679,0.079877,0.632344,1.613963,2.3978952727983707,2.3978952727983707,0.36363636363636365,0.0,0.151591,0.0
002373,2021,2021-12-31,102560,I65,134,103,3054,81405,0.0337262606417812,0.0016460905349794,33.726260641781266,1.646090534979424,3928268289,20404301.95,23634077.74,-0.21443,22.091464527040987,2021,23.70283816253631,0.34178624718314593,0.041448,0.091539,0.593601,1.468572,2.4849066497880004,2.1972245773362196,0.3333333333333333,0.0,0.15162,0.0
002373,2022,2022-12-31,102560,I65,115,82,2876,75540,0.0285118219749652,0.0015223722531109,28.51182197496523,1.5223722531109347,2893447955,12251687.8,14095278.88,-0.403344,21.785714692294896,2022,23.686366149455086,0.35292289104387725,-0.024474,-0.318805,0.600284,1.070461,2.5649493574615367,2.302585092994046,0.3,1.0,0.151686,0.0
002373,2023,2023-12-31,102560,I65,109,79,3079,79061,0.0256576810652809,0.0013786822833002,25.657681065280936,1.3786822833002366,4881933372,15397020.21,17713909.89,0.256726,22.308807161343513,2023,23.704436467355396,0.3385545807820068,0.029245,0.112843,0.659538,1.206212,2.6390573296152584,2.70805020110221,0.4,1.0,0.151686,0.0
002373,2024,2024-12-31,102560,I65,114,85,3145,79012,0.027027027027027,0.0014428188123323,27.027027027027028,1.4428188123323038,7365517804,13968804.44,16023108.5,-0.09099,22.72007519056751,2024,23.641678277852076,0.3676648666573227,-0.062916,-0.069875,0.551832,1.203322,2.70805020110221,2.1972245773362196,0.3333333333333333,1.0,0.151686,0.0
002374,2020,2020-12-31,102629,C33,5,5,2851,61274,0.0017537706068046,8.16006789176486e-05,1.75377060680463,0.0816006789176486,2345867024,2000226.54,2545811.85,-0.195876,21.575920903985555,2020,22.456692756955505,0.4979352399548577,-0.031078,-0.474609,0.114048,0.958927,2.3978952727983707,2.4849066497880004,0.25,0.0,0.177235,0.0
002374,2021,2021-12-31,102629,C33,1,1,2956,64883,0.0003382949932341,1.541235762834641e-05,0.3382949932341001,0.0154123576283464,7221780895,10663058.33,11858696.23,3.65812,22.700367420931045,2021,22.30349261739144,0.5547387747401887,-0.127758,0.108029,0.102326,2.795458,2.4849066497880004,2.1972245773362196,0.3333333333333333,0.0,0.177235,0.0
