code,year,end_date,institution_id,industry_code,annual_report_ai_word_freq,annual_report_ai_sentence_freq,annual_report_total_sentences,annual_report_total_words,ai_disclosure_sentence_ratio,ai_disclosure_word_ratio,ai_sentence_per_1000_sentences,ai_word_per_1000_words,annual_trading_shares,float_market_value_thousand,total_market_value_thousand,report_year,Size,Lev,ROA,Growth,CashRatio,TobinQ,ListAge,Board,Indep,Dual,Top1,SOE,turnover
000026,2021,2021-12-31,101779,F52,1,1,2522,55272,0.000396510705789,1.8092343320306844e-05,0.3965107057890563,0.0180923433203068,1628559672,4241865.01,4362306.15,2021,22.13682996316161,0.2669568096577899,0.095423,0.235727,0.205047,1.401671,3.367295829986474,2.70805020110221,0.2307692307692307,0.0,0.38253,1.0,0.3839253885167835
000026,2022,2022-12-31,101779,F52,1,1,2320,51343,0.0004310344827586,1.947685176168124e-05,0.4310344827586206,0.0194768517616812,1122230137,3752803.67,3838696.79,2022,22.138425534670976,0.2382040659263654,0.064825,-0.169657,0.336527,1.234816,3.4011973816621555,2.1972245773362196,0.3333333333333333,0.0,0.390245,1.0,0.2990377956542555
000026,2023,2023-12-31,101779,F52,0,0,2378,51123,0.0,0.0,0.0,0.0,1568833558,3973585.41,4003504.67,2023,22.159364347283855,0.207041181838777,0.080077,0.049515,0.614826,1.239191,3.4339872044851463,2.302585092994046,0.3,0.0,0.3925079999999999,1.0,0.394815612633327
000026,2024,2024-12-31,101779,F52,2,2,2356,49130,0.0008488964346349,4.0708324852432325e-05,0.8488964346349746,0.0407083248524323,1195457435,3761275.25,3786948.47,2024,22.11148103133932,0.1536664278494838,0.053666,-0.137681,0.901288,1.160824,3.4657359027997265,2.5649493574615367,0.4615384615384615,0.0,0.401655,1.0,0.3178330102270499
000027,2020,2020-12-31,101655,D44,1,1,3085,79891,0.0003241491085899,1.251705448673818e-05,0.3241491085899513,0.0125170544867381,4288098011,28972504.59,28972504.59,2020,25.460010313478037,0.633063486664836,0.040609,-0.017414,0.396629,0.88707,3.332204510175204,2.3978952727983707,0.2727272727272727,0.0,0.439076,1.0,0.1480057755338162
000027,2021,2021-12-31,101655,D44,1,1,2912,81220,0.0003434065934065,1.2312238364934744e-05,0.3434065934065934,0.0123122383649347,22935741149,38534858.32,38534858.32,2021,25.602328128288104,0.622932164968305,0.017181,0.543403,0.336658,0.915957,3.367295829986474,2.3978952727983707,0.2727272727272727,0.0,0.439076,1.0,0.5951946406170152
000027,2022,2022-12-31,101655,D44,5,4,2896,83820,0.0013812154696132,5.965163445478406e-05,1.3812154696132597,0.059651634454784,4994488792,30256999.87,30256999.87,2022,25.673915494584847,0.6154734930290287,0.018101,0.188636,0.324993,0.829657,3.4011973816621555,2.4849066497880004,0.5,0.0,0.439076,1.0,0.1650688704583717
000027,2023,2023-12-31,101655,D44,1,1,2848,79428,0.0003511235955056,1.2590018633227576e-05,0.3511235955056179,0.0125900186332275,4210836502,30685164.96,30685164.96,2023,25.756702318888156,0.6362063360906031,0.018891,0.079408,0.383061,0.836162,3.4339872044851463,2.3978952727983707,0.2727272727272727,0.0,0.439076,1.0,0.1372271098261679
000027,2024,2024-12-31,101655,D44,3,3,3059,86816,0.0009807126511932,3.455584224106156e-05,0.9807126511932004,0.0345558422410615,6337896686,30827886.66,30827886.66,2024,25.80697107455959,0.6393097097571375,0.016721,0.017507,0.248555,0.830347,3.4657359027997265,2.3978952727983707,0.2727272727272727,0.0,0.439076,1.0,0.2055897232236677
000028,2020,2020-12-31,101656,F51,0,0,3009,71602,0.0,0.0,0.0,0.0,1101946100,16842200.03,17094506.87,2020,24.401956902032744,0.573460631084026,0.04676,0.146096,0.26682,1.030471,3.332204510175204,2.5649493574615367,0.3076923076923077,0.0,0.560581,1.0,0.0654276815402482
