code,year,end_date,institution_id,industry_code,annual_report_ai_word_freq,annual_report_ai_sentence_freq,annual_report_total_sentences,annual_report_total_words,ai_disclosure_sentence_ratio,ai_disclosure_word_ratio,ai_sentence_per_1000_sentences,ai_word_per_1000_words,annual_trading_shares,float_market_value_thousand,total_market_value_thousand,annual_return_no_cash_dividend,investor_sentiment_proxy_log_trading_volume
000031,2023,2023-12-31,101916,K70,0,0,2354,68955,0.0,0.0,0.0,0.0,4435257942,11888574.89,12730350.62,-0.210106,22.21285161178331
000031,2024,2024-12-31,101916,K70,0,0,2496,72313,0.0,0.0,0.0,0.0,5737359897,12168776.99,13030392.55,0.023569,22.470264993385697
000032,2020,2020-12-31,101917,E49,17,17,2320,58623,0.007327586206896552,0.0002899885710386708,7.327586206896552,0.2899885710386708,1349134416,7364491.55,7396631.93,0.266197,21.022729051165104
000032,2021,2021-12-31,101917,E49,46,42,3463,103616,0.012128212532486284,0.0004439468807906115,12.128212532486284,0.44394688079061145,519230167,8532936.02,23617567.98,0.158659,20.067857826442715
000032,2022,2022-12-31,101917,E49,53,45,3277,99535,0.0137320720170888,0.0005324760134626011,13.7320720170888,0.5324760134626011,3979572593,12991990.79,22929878.57,-0.023626,22.104440262033997
000032,2023,2023-12-31,101917,E49,98,73,3424,100536,0.021320093457943924,0.0009747752049017268,21.320093457943923,0.9747752049017268,7512756263,13656097.52,24101976.58,0.055087,22.73986824790648
000032,2024,2024-12-31,101917,E49,104,84,3507,104658,0.023952095808383235,0.0009937128552045711,23.952095808383234,0.9937128552045711,5755403835,11373633.63,20073600.89,-0.161945,22.473405047987644
000034,2020,2020-12-31,101880,F51,108,79,2583,68903,0.030584591560201317,0.00156742086701595,30.584591560201318,1.56742086701595,6066129144,10674686.29,14154173.2,0.091688,22.525986535963092
000034,2021,2021-12-31,101880,F51,94,69,2905,76424,0.023752151462994836,0.0012299801109599078,23.752151462994835,1.2299801109599078,2510835608,8535879.48,10457440.33,-0.253532,21.64388144663941
000034,2022,2022-12-31,101880,F51,102,77,3032,81699,0.025395778364116096,0.0012484852935776447,25.395778364116097,1.2484852935776447,3998673251,11923291.49,14560702.57,0.398092,22.109228456046
000034,2023,2023-12-31,101880,F51,98,75,3069,75615,0.024437927663734114,0.001296039145672155,24.437927663734115,1.296039145672155,7224945175,16452046.95,20027143.18,0.383582,22.70080548281923
000034,2024,2024-12-31,101880,F51,133,80,3502,92470,0.022844089091947458,0.0014383043149129447,22.84408909194746,1.4383043149129446,6294099803,19373787.54,23468989.83,0.18676,22.56287849246958
