code,report_year,total_ai_sentences,innovation_sentences,risk_sentences,neutral_sentences,mixed_sentences,total_sentences_in_report,AI_Disclosure,AI_Innovation_Disclosure,AI_Risk_Disclosure,AI_Innovation_Ratio,AI_Risk_Ratio,Y_return,Size,Lev,ROA,Growth,CashRatio,TobinQ,ListAge,Board,Indep,Dual,Top1,SOE
000009,2021,8,5,1,2,0,1667,0.004799040191961607,0.002999400119976005,0.0005998800239952009,0.625,0.125,0.920319,24.336160044155847,0.5776237687946326,0.050537,0.656944,0.396345,1.575267,3.367295829986474,2.302585092994046,0.3,1.0,0.136359,0.0
000009,2022,10,9,1,0,0,1666,0.006002400960384154,0.005402160864345739,0.0006002400960384153,0.9,0.1,-0.159737,24.680134291730806,0.6396757881317984,0.055233,0.822934,0.324564,1.233438,3.4011973816621555,2.0794415416798357,0.375,1.0,0.151933,0.0
000009,2023,10,9,0,1,0,1703,0.005871990604815032,0.005284791544333529,0.0,0.9,0.0,-0.026055,24.637287359824324,0.5803763403919494,0.032802,-0.040677,0.55055,1.182776,3.4339872044851463,2.0794415416798357,0.375,1.0,0.17546399999999998,0.0
000011,2019,5,2,0,3,0,1055,0.004739336492890996,0.001895734597156398,0.0,0.4,0.0,,23.100261660735942,0.6967677135550733,0.083405,0.421359,0.631715,1.186674,3.332204510175204,2.1972245773362196,0.3333333333333333,0.0,0.638242,1.0
000011,2020,2,0,0,2,0,1087,0.001839926402943882,0.0,0.0,0.0,0.0,0.331562,23.225304632556767,0.6902587917335451,0.06365,0.036021,0.881727,1.240999,3.332204510175204,2.302585092994046,0.3,0.0,0.5695709999999999,1.0
000011,2021,5,4,1,0,0,1206,0.004145936981757877,0.003316749585406302,0.0008291873963515755,0.8,0.2,-0.008217,23.40304667521018,0.6892660524605944,0.073668,0.094434,0.284254,1.134397,3.367295829986474,2.3978952727983707,0.45454545454545453,0.0,0.505747,1.0
000011,2022,6,4,0,1,1,1262,0.004754358161648178,0.003169572107765452,0.0,0.6666666666666666,0.0,0.052316,23.48329398000353,0.7171690047282078,0.034557,-0.174377,0.201139,1.126729,3.4011973816621555,2.3978952727983707,0.2727272727272727,0.0,0.505747,1.0
000011,2023,5,4,0,1,0,1265,0.003952569169960474,0.003162055335968379,0.0,0.8,0.0,-0.2044,23.55577670303392,0.72311585530139,0.02742,-0.20049,0.264321,1.012714,3.4339872044851463,2.302585092994046,0.3,0.0,0.505747,1.0
000012,2019,6,5,0,1,0,1193,0.005029337803855826,0.004191114836546521,0.0,0.8333333333333334,0.0,,23.624755338558558,0.4579568359959857,0.030037,-0.013001,0.286951,1.138865,3.332204510175204,2.1972245773362196,0.4444444444444444,0.0,0.15005100000000002,0.0
000012,2020,6,6,0,0,0,1232,0.00487012987012987,0.00487012987012987,0.0,1.0,0.0,0.487026,23.60711161901976,0.40636725351820213,0.045003,0.019025,0.556162,1.371674,3.332204510175204,2.3978952727983707,0.36363636363636365,0.0,0.151883,0.0
