code,report_year,total_ai_sentences,innovation_sentences,risk_sentences,neutral_sentences,mixed_sentences,total_sentences_in_report,AI_Disclosure,AI_Innovation_Disclosure,AI_Risk_Disclosure,AI_Innovation_Ratio,AI_Risk_Ratio
000070,2021,23,19,0,4,0,1574,0.01461245235069886,0.01207115628970775,0.0,0.8260869565217391,0.0
000070,2022,32,23,2,6,1,1299,0.02463433410315627,0.01770592763664357,0.001539645881447267,0.71875,0.0625
000070,2023,39,22,1,16,0,1359,0.02869757174392936,0.01618837380426785,0.0007358351729212656,0.5641025641025641,0.02564102564102564
000078,2019,2,2,0,0,0,1352,0.001479289940828402,0.001479289940828402,0.0,1.0,0.0
000078,2020,4,4,0,0,0,1413,0.002830856334041048,0.002830856334041048,0.0,1.0,0.0
000078,2021,7,7,0,0,0,1508,0.004641909814323607,0.004641909814323607,0.0,1.0,0.0
000078,2022,11,11,0,0,0,1596,0.006892230576441102,0.006892230576441102,0.0,1.0,0.0
000078,2023,10,7,0,3,0,1459,0.006854009595613434,0.004797806716929404,0.0,0.7,0.0
000088,2019,1,1,0,0,0,1099,0.0009099181073703367,0.0009099181073703367,0.0,1.0,0.0
000088,2020,1,1,0,0,0,1132,0.0008833922261484099,0.0008833922261484099,0.0,1.0,0.0
000088,2021,3,1,0,2,0,1185,0.002531645569620253,0.0008438818565400844,0.0,0.3333333333333333,0.0
000088,2022,2,2,0,0,0,1227,0.00162999185004075,0.00162999185004075,0.0,1.0,0.0
000088,2023,5,2,0,3,0,1375,0.003636363636363636,0.001454545454545454,0.0,0.4,0.0
000089,2019,5,2,1,2,0,1631,0.003065603923973023,0.001226241569589209,0.0006131207847946045,0.4,0.2
000089,2020,12,5,4,3,0,1609,0.007458048477315102,0.003107520198881293,0.002486016159105034,0.4166666666666667,0.3333333333333333
000089,2021,9,4,4,1,0,1686,0.005338078291814947,0.002372479240806643,0.002372479240806643,0.4444444444444444,0.4444444444444444
000089,2022,8,4,4,0,0,1297,0.006168080185042405,0.003084040092521203,0.003084040092521203,0.5,0.5
000089,2023,11,4,2,5,0,1613,0.006819590824550527,0.002479851208927464,0.001239925604463732,0.3636363636363636,0.1818181818181818
000090,2019,9,6,0,3,0,757,0.011889035667107,0.007926023778071334,0.0,0.6666666666666666,0.0
000090,2020,13,10,0,3,0,1191,0.0109151973131822,0.008396305625524769,0.0,0.7692307692307693,0.0
000090,2021,11,9,0,2,0,1217,0.009038619556285949,0.007395234182415777,0.0,0.8181818181818182,0.0
000090,2022,11,8,0,3,0,1276,0.008620689655172414,0.006269592476489028,0.0,0.7272727272727273,0.0
000090,2023,16,11,0,4,1,1187,0.0134793597304128,0.009267059814658803,0.0,0.6875,0.0
000096,2020,2,0,0,2,0,1046,0.001912045889101338,0.0,0.0,0.0,0.0
000096,2021,2,0,0,2,0,1118,0.001788908765652952,0.0,0.0,0.0,0.0
000096,2023,2,2,0,0,0,1165,0.001716738197424893,0.001716738197424893,0.0,1.0,0.0
000099,2019,3,0,0,3,0,1036,0.002895752895752896,0.0,0.0,0.0,0.0
